__IOTFsex,__IOTFage,__IOTF16_pre,__IOTF16,__IOTF16_nx,__IOTF16_nx2,__IOTF17_pre,__IOTF17,__IOTF17_nx,__IOTF17_nx2,__IOTF18_5_pre,__IOTF18_5,__IOTF18_5_nx,__IOTF18_5_nx2,__IOTF25_pre,__IOTF25,__IOTF25_nx,__IOTF25_nx2,__IOTF30_pre,__IOTF30,__IOTF30_nx,__IOTF30_nx2
2,3.5,12.98,12.86,12.73,12.61,13.6,13.47,13.34,13.21,14.47,14.32,14.19,14.06,17.56,17.4,17.28,17.19,19.36,19.23,19.15,19.12
2,4,12.86,12.73,12.61,12.5,13.47,13.34,13.21,13.09,14.32,14.19,14.06,13.94,17.4,17.28,17.19,17.15,19.23,19.15,19.12,19.17
2,4.5,12.73,12.61,12.5,12.4,13.34,13.21,13.09,12.99,14.19,14.06,13.94,13.86,17.28,17.19,17.15,17.2,19.15,19.12,19.17,19.34
2,5,12.61,12.5,12.4,12.32,13.21,13.09,12.99,12.93,14.06,13.94,13.86,13.82,17.19,17.15,17.2,17.34,19.12,19.17,19.34,19.65
2,5.5,12.5,12.4,12.32,12.28,13.09,12.99,12.93,12.9,13.94,13.86,13.82,13.82,17.15,17.2,17.34,17.53,19.17,19.34,19.65,20.08
2,6,12.4,12.32,12.28,12.26,12.99,12.93,12.9,12.91,13.86,13.82,13.82,13.86,17.2,17.34,17.53,17.75,19.34,19.65,20.08,20.51
2,6.5,12.32,12.28,12.26,12.27,12.93,12.9,12.91,12.95,13.82,13.82,13.86,13.93,17.34,17.53,17.75,18.03,19.65,20.08,20.51,21.01
2,7,12.28,12.26,12.27,12.31,12.9,12.91,12.95,13,13.82,13.86,13.93,14.02,17.53,17.75,18.03,18.35,20.08,20.51,21.01,21.57
2,7.5,12.26,12.27,12.31,12.37,12.91,12.95,13,13.08,13.86,13.93,14.02,14.14,17.75,18.03,18.35,18.69,20.51,21.01,21.57,22.18
2,8,12.27,12.31,12.37,12.44,12.95,13,13.08,13.18,13.93,14.02,14.14,14.28,18.03,18.35,18.69,19.07,21.01,21.57,22.18,22.81
2,8.5,12.31,12.37,12.44,12.53,13,13.08,13.18,13.29,14.02,14.14,14.28,14.43,18.35,18.69,19.07,19.45,21.57,22.18,22.81,23.46
2,9,12.37,12.44,12.53,12.64,13.08,13.18,13.29,13.43,14.14,14.28,14.43,14.61,18.69,19.07,19.45,19.86,22.18,22.81,23.46,24.11
2,9.5,12.44,12.53,12.64,12.78,13.18,13.29,13.43,13.59,14.28,14.43,14.61,14.81,19.07,19.45,19.86,20.29,22.81,23.46,24.11,24.77
2,10,12.53,12.64,12.78,12.95,13.29,13.43,13.59,13.79,14.43,14.61,14.81,15.05,19.45,19.86,20.29,20.74,23.46,24.11,24.77,25.42
2,10.5,12.64,12.78,12.95,13.15,13.43,13.59,13.79,14.01,14.61,14.81,15.05,15.32,19.86,20.29,20.74,21.2,24.11,24.77,25.42,26.05
2,11,12.78,12.95,13.15,13.39,13.59,13.79,14.01,14.28,14.81,15.05,15.32,15.62,20.29,20.74,21.2,21.68,24.77,25.42,26.05,26.67
2,11.5,12.95,13.15,13.39,13.65,13.79,14.01,14.28,14.56,15.05,15.32,15.62,15.93,20.74,21.2,21.68,22.14,25.42,26.05,26.67,27.24
2,12,13.15,13.39,13.65,13.92,14.01,14.28,14.56,14.85,15.32,15.62,15.93,16.26,21.2,21.68,22.14,22.58,26.05,26.67,27.24,27.76
2,12.5,13.39,13.65,13.92,14.2,14.28,14.56,14.85,15.14,15.62,15.93,16.26,16.57,21.68,22.14,22.58,22.98,26.67,27.24,27.76,28.2
